index	source	source_id	English_name	Chinese_name	clean_name	name2	note1	note2	group1	group2	stat_standard	stat_shape	stat_cook	stat_storage	stat_meat	stat_seasoning	edible	Energy_kcal	Energy_kJ	Water	Protein	Fat	Ash	Fiber	Carbohydrate	Sugar	Alcohol	Caffeine	saturated_fat_acid	monounsat_fat_acid	polyunsat_fat_acid	trans_fat_acid	Cholesterol	Phytosterol	Fructose	VA_RAE	VA_IU	Retinol	Carotene	Thiamin	Riboflavin	Niacin	Nicotincin	VB6	VB12	VC	VD	VE	Tocopherol.gama	VK	Folate	Choline	Ca	Fe	Mg	p	K	Na	Zn	Cu	Mn	Se	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Arginine	Histidine	F18D2	F18D3	F18D4	F20D4	F20D5	F22D5	F22D6	others	total_name	key_name_cn
USDASR_5326	USDASR	5326	Chicken breast tenders, breaded, cooked, microwaved	鸡胸肉，裹上面包屑，煮熟，微波	Chicken breast tenders, breaded, cooked, microwaved		cooked, microwaved	Chicken breast tenders	Poultry Products				微波		NA		100	252	1053	51.34	16.35	12.89	1.87	0	17.56	0	0	0	3.2	5.71	2.79	NA	45	NA	NA	0	0	0	0	0.324	0.098	6.514	NA	0.037	0.00044	0	NA	0.37	NA	0.0042	0.012	40.8	14	1	26	216	225	446	0.77	0.316	0.235	0.0306	0.202	0.612	0.667	1.108	1.07	0.332	0.568	0.714	0.927	0.464	2.69	0.1	0	0	0	0	0	name: Chicken breast tenders, breaded, cooked, microwaved; foodid: 5326; Starch: NA; Sucrose: NA; Glucose.dextrose.: NA; Lactose: NA; Maltose: NA; Theobromine: 0; Galactose: NA; Fluoride.F: NA; Carotene.alpha: 0; Vitamin.D2.ergocalciferol.: NA; Vitamin.D3.cholecalciferol.: NA; Vitamin.D.D2.D3.: NA; Cryptoxanthin.beta: 0; Lycopene: 0; Lutein.zeaxanthin: 0; Tocopherol.beta: NA; Tocopherol.delta: NA; Tocotrienol.alpha: NA; Tocotrienol.beta: NA; Tocotrienol.gamma: NA; Tocotrienol.delta: NA; Pantothenic.acid: 0.994; Menaquinone.4: NA; Dihydrophylloquinone: NA; Folic.acid: 0; Folate.food: 0.012; Folate.DFE: 0.012; Betaine: 30.2; Cystine: 0.184; Tyrosine: 0.354; Alanine: 0.802; Aspartic.acid: 1.307; Glutamic.acid: 2.447; Glycine: 0.713; Proline: 0.751; Serine: 0.589; Hydroxyproline: 0.11; Vitamin.E.added: 0; Vitamin.B.12.added: 0; X4.0: 0; X6.0: 0; X8.0: 0; X10.0: 0; X12.0: 0; X14.0: 0; X16.0: 2.64; X18.0: 0.56; X20.0: 0; X18.1.undifferentiated: 5.16; X22.0: 0; X14.1: 0; X16.1.undifferentiated: 0.55; X20.1: 0; X22.1.undifferentiated: 0; Stigmasterol: NA; Campesterol: NA; Beta.sitosterol: NA; X15.0: 0; X17.0: 0; X24.0: 0; X16.1.t: NA; X18.1.t: NA; X22.1.t: NA; X18.2.t.not.further.defined: NA; X18.2.i: NA; X18.2.t.t: NA; X18.2.CLAs: NA; X24.1.c: NA; X20.2.n.6.c.c: NA; X16.1.c: NA; X18.1.c: NA; X18.2.n.6.c.c: NA; X22.1.c: NA; X18.3.n.6.c.c.c: NA; X17.1: NA; X20.3.undifferentiated: NA; Fatty.acids.total.trans.monoenoic: NA; Fatty.acids.total.trans.polyenoic: NA; X13.0: NA; X15.1: NA; X18.3.n.3.c.c.c.ALA.: NA; X20.3.n.3: NA; X20.3.n.6: NA; X20.4.n.6: NA; X18.3i: NA; X21.5: NA; X22.4: NA; X18.1.11.t.18.1t.n.7.: NA	CHICKEN BREAST	鸡胸肉
MEXT_13057	MEXT	13057	Cheese, goat milk 	山羊奶酪、牛奶	Cheese, goat milk 		Cheese	goat milk 							NA		100	296	1239	52.9	20.6	21.7	2.2	NA	2.7	NA	NA	NA	13.37	4.88	0.74	NA	88	NA	NA	NA	NA	0.29	0	0.09	0.88	1.4	NA	0.23	3e-04	NA	3e-04	0.4	NA	0.01	0.1	NA	130	0.1	20	270	260	480	0.5	0.07	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X.Item.No.: 13057; Food.and.Description: Cheese, goat milk ; X.Protein.calculated.as.the.sum.of.amino.acid.residues.: 18; X.Fatty.acid.triacyl.glycerol.equivalents.: 20.1; X.Carbohydrate.available.expressed.in.mono.saccharide.equivalents.: 1; X.Dietary.fiber.soluble.: NA; X.Dietary.fiber.insoluble.: NA; Iodine: NA; Chromium: NA; Molybdenum: NA; alpha.Carotene: 0; X.beta.Cryptoxanthin.: 0; X.beta.Caroteneequivalents.: 0; X.Retinol.activityequivalents.: 0.29; beta.Tocopherol: 0; delta.Tocopherol: 0; Pantothenic.acid: 1.16; Biotin: NA; X.Ascorbic.acid.: NA; Salt.equivalents: 1.2; Nitrate.ion: NA; Theobromine: NA; Tannin: NA; Polyphenol: NA; Acetic.acid: NA; Cooking.oil: NA; X.Organic.acids.total.: 0.5	GOAT MILK	羊奶
MEXT_10245	MEXT	10245	Fish, hoki, raw	鱼,hoki,生	Fish, hoki, raw		hoki	raw					生		NA		100	84	351	80.4	17	1.3	1.3	NA	NA	NA	NA	NA	0.24	0.42	0.29	NA	49	NA	NA	NA	NA	0.043	NA	0.03	0.16	1.3	NA	0.07	7e-04	NA	0.001	0.9	0	NA	0.013	NA	20	0.3	24	160	330	160	0.4	0.02	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X.Item.No.: 10245; Food.and.Description: Fish, hoki, raw; X.Protein.calculated.as.the.sum.of.amino.acid.residues.: NA; X.Fatty.acid.triacyl.glycerol.equivalents.: 1; X.Carbohydrate.available.expressed.in.mono.saccharide.equivalents.: NA; X.Dietary.fiber.soluble.: NA; X.Dietary.fiber.insoluble.: NA; Iodine: NA; Chromium: NA; Molybdenum: NA; alpha.Carotene: NA; X.beta.Cryptoxanthin.: NA; X.beta.Caroteneequivalents.: NA; X.Retinol.activityequivalents.: 0.043; beta.Tocopherol: 0; delta.Tocopherol: 0; Pantothenic.acid: 0.42; Biotin: NA; X.Ascorbic.acid.: 0; Salt.equivalents: 0.4; Nitrate.ion: NA; Theobromine: NA; Tannin: NA; Polyphenol: NA; Acetic.acid: NA; Cooking.oil: NA; X.Organic.acids.total.: NA	HOKI	鳕鱼
NUTTAB_05A10586	NUTTAB	05A10586	Blue grenadier (hoki), flesh, baked	蓝色掷弹兵(hoki)，肉，烤的	Blue grenadier (hoki), flesh, baked		baked	baked					烘焙		NA		100	102.153110047847	427	NA	22	1.3	NA	NA	0.3	0.3	NA	NA	0.3	0.4	0.3	NA	54	NA	NA	NA	NA	0.015	NA	0.03	0.01	NA	NA	0.05	NA	0	NA	NA	NA	NA	0.018	NA	9	0.2	NA	NA	328	56	0.3	NA	NA	0.069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name: Blue grenadier (hoki), flesh, baked; group: Seafood and Seafood Products; group2: Fish; food_id: 05A10586; Acetic.acid: NA; Alpha.carotene: NA; Alpha.tocopherol: NA; Alpha.tocotrienol: NA; Aluminium.Al.: NA; Antimony.Sb.: NA; Arsenic.As.: NA; Available.carbohydrate.without.sugar.alcohols: 0.3; Beta.carotene.equivalents: NA; Beta.tocopherol: NA; Beta.tocotrienol: NA; Biotin.B7.: NA; C10.1FD: NA; C10FD: NA; C11FD: NA; C12FD: NA; C13FD: NA; C14.1FD: NA; C14FD: NA; C15.1FD: NA; C15FD: NA; C16.1FD: NA; C16FD: NA; C17.1FD: NA; C17FD: NA; C18.1FD: NA; C18.3w6FD: NA; C18FD: NA; C19FD: NA; C20.1FD: NA; C20.2w6FD: NA; C20.3w3FD: NA; C20.3w6FD: NA; C20.4w6FD: NA; C20FD: NA; C21FD: NA; C22.1FD: NA; C22.2w6FD: NA; C22.4w6FD: NA; C22FD: NA; C23FD: NA; C24.1FD: NA; C24FD: NA; C4FD: NA; C6FD: NA; C8FD: NA; Cadmium.Cd.: NA; Chromium.Cr.: NA; Citric.acid: NA; Cobalt.Co.: NA; Cryptoxanthin: NA; Delta.tocopherol: NA; Delta.tocotrienol: NA; Dextrin: NA; Dietary.fibre: 0; Dietary.folate.equivalents: 0.018; Fluoride.F.: NA; Folic.acid: NA; Fumaric.acid: NA; Galactose: NA; Gamma.tocotrienol: NA; Glucose: NA; Glycerol: NA; Glycogen: NA; Inulin: NA; Iodine.I.: NA; Lactic.acid: NA; Lactose: NA; Lead.Pb.: NA; Lutein: NA; Lycopene: NA; Malic.acid: NA; Maltodextrin: NA; Maltose: NA; Maltotriose: NA; Mannitol: NA; Mercury.Hg.: NA; Moisture: 76; Molybdenum.Mo.: NA; Niacin.equivalents: 3.67; Nickel.Ni.: NA; Nitrogen: 3.52; NULL.: NA; Oligosaccharides: NA; Oxalic.acid: NA; Pantothenic.acid.B5.: NA; Propionic.acid: NA; Quinic.acid: NA; Raffinose: NA; Retinol.equivalents: 0.015; Shikimic.acid: NA; Sorbitol: NA; Stachyose: NA; Starch: 0; Succinic.acid: NA; Sucrose: NA; Sulphur.S.: NA; Tartaric.acid: NA; Tin.Sn.: NA; Total.folates: 0.018; Total.long.chain.omega.3.fatty.acids.mg.: NA; Tryptophan.mg.: NA; Undifferentiated.fatty.acids.mg.: NA; Xanthophyl: NA	HOKI	鳕鱼
USDASR_43125	USDASR	43125	Beans, liquid from stewed kidney beans	豆类，炖芸豆的液体	Beans, liquid from stewed kidney beans		Beans	Beans	Legumes and Legume Products			液态	炖		NA		100	47	197	91.5	1.8	3.2	0.7	0.1	2.8	0	0	0	1.174	1.536	0.34	0	4	NA	NA	0	0	0	0	0.1	0.09	0.39	NA	0.03	2e-05	0	0	0	NA	0	0.033	13.5	13	1.96	37	88	408	2	0.49	0.098	NA	5e-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.299	0.033	0	0.007	0	0	0	name: Beans, liquid from stewed kidney beans; foodid: 43125; Starch: NA; Sucrose: NA; Glucose.dextrose.: NA; Lactose: NA; Maltose: NA; Theobromine: 0; Galactose: NA; Fluoride.F: NA; Carotene.alpha: 0; Vitamin.D2.ergocalciferol.: NA; Vitamin.D3.cholecalciferol.: NA; Vitamin.D.D2.D3.: 0; Cryptoxanthin.beta: 0; Lycopene: 0; Lutein.zeaxanthin: 0; Tocopherol.beta: NA; Tocopherol.delta: NA; Tocotrienol.alpha: NA; Tocotrienol.beta: NA; Tocotrienol.gamma: NA; Tocotrienol.delta: NA; Pantothenic.acid: NA; Menaquinone.4: NA; Dihydrophylloquinone: NA; Folic.acid: 0; Folate.food: 0.033; Folate.DFE: 0.033; Betaine: NA; Cystine: NA; Tyrosine: NA; Alanine: NA; Aspartic.acid: NA; Glutamic.acid: NA; Glycine: NA; Proline: NA; Serine: NA; Hydroxyproline: NA; Vitamin.E.added: 0; Vitamin.B.12.added: 0; X4.0: 0; X6.0: 0; X8.0: 0; X10.0: 0; X12.0: 0.006; X14.0: 0.043; X16.0: 0.729; X18.0: 0.389; X20.0: NA; X18.1.undifferentiated: 1.42; X22.0: NA; X14.1: NA; X16.1.undifferentiated: 0.095; X20.1: 0; X22.1.undifferentiated: 0; Stigmasterol: NA; Campesterol: NA; Beta.sitosterol: NA; X15.0: NA; X17.0: NA; X24.0: NA; X16.1.t: NA; X18.1.t: NA; X22.1.t: NA; X18.2.t.not.further.defined: NA; X18.2.i: NA; X18.2.t.t: NA; X18.2.CLAs: NA; X24.1.c: NA; X20.2.n.6.c.c: NA; X16.1.c: NA; X18.1.c: NA; X18.2.n.6.c.c: NA; X22.1.c: NA; X18.3.n.6.c.c.c: NA; X17.1: NA; X20.3.undifferentiated: NA; Fatty.acids.total.trans.monoenoic: NA; Fatty.acids.total.trans.polyenoic: NA; X13.0: NA; X15.1: NA; X18.3.n.3.c.c.c.ALA.: NA; X20.3.n.3: NA; X20.3.n.6: NA; X20.4.n.6: NA; X18.3i: NA; X21.5: NA; X22.4: NA; X18.1.11.t.18.1t.n.7.: NA	KIDNEY BEAN	芸豆
MEXT_4007	MEXT	4007	Kidney beans, mature seeds, whole, raw	芸豆，成熟种子，整粒，生的	Kidney beans, mature seeds, whole, raw		mature seeds, whole	raw				完整	生		NA		100	333	1393	16.5	19.9	2.2	3.6	19.3	57.8	NA	NA	NA	0.25	0.19	0.79	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.2	2	NA	0.36	NA	NA	NA	0.1	2	0.008	0.085	NA	130	6	150	400	1500	1	2.5	0.75	1.9	0.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X.Item.No.: 4007; Food.and.Description: Kidney beans, mature seeds, whole, raw; X.Protein.calculated.as.the.sum.of.amino.acid.residues.: 15.6; X.Fatty.acid.triacyl.glycerol.equivalents.: 1.3; X.Carbohydrate.available.expressed.in.mono.saccharide.equivalents.: 41.2; X.Dietary.fiber.soluble.: 3.3; X.Dietary.fiber.insoluble.: 16; Iodine: 0; Chromium: 0.003; Molybdenum: 0.11; alpha.Carotene: NA; X.beta.Cryptoxanthin.: NA; X.beta.Caroteneequivalents.: 0.012; X.Retinol.activityequivalents.: 0.001; beta.Tocopherol: 0; delta.Tocopherol: 0.1; Pantothenic.acid: 0.63; Biotin: 0.0094; X.Ascorbic.acid.: NA; Salt.equivalents: 0; Nitrate.ion: NA; Theobromine: NA; Tannin: NA; Polyphenol: NA; Acetic.acid: NA; Cooking.oil: NA; X.Organic.acids.total.: NA	KIDNEY BEAN	芸豆
MEXT_4009	MEXT	4009	Kidney beans, mature seeds, Uzura-mame (beans cooked with sugar and salt)	芸豆，成熟种子，乌祖拉-马姆	Kidney beans, mature seeds, Uzura-mame		mature seeds	Uzura-mame					煮熟		NA		100	237	992	41.4	6.7	1.3	1	5.9	49.6	NA	NA	NA	0.11	0.06	0.4	NA	NA	NA	NA	NA	NA	NA	NA	0.03	0.01	0.3	NA	0.04	NA	NA	NA	0	0.6	0.003	0.023	NA	41	2.3	25	100	230	110	0.6	0.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X.Item.No.: 4009; Food.and.Description: Kidney beans, mature seeds, Uzura-mame (beans cooked with sugar and salt); X.Protein.calculated.as.the.sum.of.amino.acid.residues.: 5.9; X.Fatty.acid.triacyl.glycerol.equivalents.: 0.6; X.Carbohydrate.available.expressed.in.mono.saccharide.equivalents.: 45.9; X.Dietary.fiber.soluble.: 1.3; X.Dietary.fiber.insoluble.: 4.6; Iodine: NA; Chromium: NA; Molybdenum: NA; alpha.Carotene: NA; X.beta.Cryptoxanthin.: NA; X.beta.Caroteneequivalents.: NA; X.Retinol.activityequivalents.: NA; beta.Tocopherol: 0; delta.Tocopherol: 0; Pantothenic.acid: 0.14; Biotin: NA; X.Ascorbic.acid.: NA; Salt.equivalents: 0.3; Nitrate.ion: NA; Theobromine: NA; Tannin: NA; Polyphenol: NA; Acetic.acid: NA; Cooking.oil: NA; X.Organic.acids.total.: NA	KIDNEY BEAN	芸豆
MEXT_6011	MEXT	6011	Kidney beans, Sayaingen, immature pods, boiled	芸豆，sayaingen，未成熟的豆荚，煮熟	Kidney beans, Sayaingen, immature pods, boiled		Sayaingen, immature pods	boiled							NA		100	26	109	91.7	1.8	0.2	0.8	2.6	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.06	0.1	0.5	NA	0.07	NA	NA	NA	0.2	0.4	0.051	0.053	NA	57	0.7	22	43	270	1	0.3	0.06	0.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X.Item.No.: 6011; Food.and.Description: Kidney beans, Sayaingen, immature pods, boiled; X.Protein.calculated.as.the.sum.of.amino.acid.residues.: NA; X.Fatty.acid.triacyl.glycerol.equivalents.: NA; X.Carbohydrate.available.expressed.in.mono.saccharide.equivalents.: NA; X.Dietary.fiber.soluble.: 0.6; X.Dietary.fiber.insoluble.: 2; Iodine: NA; Chromium: NA; Molybdenum: NA; alpha.Carotene: 0.15; X.beta.Cryptoxanthin.: 0; X.beta.Caroteneequivalents.: 0.58; X.Retinol.activityequivalents.: 0.048; beta.Tocopherol: 0; delta.Tocopherol: 0; Pantothenic.acid: 0.16; Biotin: NA; X.Ascorbic.acid.: 6; Salt.equivalents: 0; Nitrate.ion: NA; Theobromine: NA; Tannin: NA; Polyphenol: NA; Acetic.acid: NA; Cooking.oil: NA; X.Organic.acids.total.: NA	KIDNEY BEAN	芸豆
MEXT_6010	MEXT	6010	Kidney beans, Sayaingen, immature pods, raw	芸豆，sayaingen，未成熟的豆荚，生的	Kidney beans, Sayaingen, immature pods, raw		Sayaingen, immature pods	raw					生		NA		97	23	96	92.2	1.8	0.1	0.8	2.4	5.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.52	0.06	0.11	0.6	NA	0.07	NA	NA	NA	0.2	0.4	0.06	0.05	NA	48	0.7	23	41	260	1	0.3	0.06	0.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X.Item.No.: 6010; Food.and.Description: Kidney beans, Sayaingen, immature pods, raw; X.Protein.calculated.as.the.sum.of.amino.acid.residues.: 1.2; X.Fatty.acid.triacyl.glycerol.equivalents.: NA; X.Carbohydrate.available.expressed.in.mono.saccharide.equivalents.: 2.2; X.Dietary.fiber.soluble.: 0.3; X.Dietary.fiber.insoluble.: 2.1; Iodine: 0; Chromium: 0.001; Molybdenum: 0.034; alpha.Carotene: 0.14; X.beta.Cryptoxanthin.: 0; X.beta.Caroteneequivalents.: 0.59; X.Retinol.activityequivalents.: 0.049; beta.Tocopherol: 0; delta.Tocopherol: 0; Pantothenic.acid: 0.17; Biotin: 0.0039; X.Ascorbic.acid.: 8; Salt.equivalents: 0; Nitrate.ion: NA; Theobromine: NA; Tannin: NA; Polyphenol: NA; Acetic.acid: NA; Cooking.oil: NA; X.Organic.acids.total.: 0.3	KIDNEY BEAN	芸豆
MEXT_4011	MEXT	4011	Kidney beans, mature seeds, Mame-kinton (sweetened whole beans with bean paste)	芸豆，成熟种子，马麦-金顿	Kidney beans, mature seeds, Mame-kinton		mature seeds	Mame-kinton				完整			NA	加糖	100	249	1042	37.8	4.9	0.5	0.6	4.8	56.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	0.01	0.1	NA	0.03	NA	NA	NA	0	1.3	0.001	0.015	NA	28	1	23	83	120	100	0.5	0.09	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X.Item.No.: 4011; Food.and.Description: Kidney beans, mature seeds, Mame-kinton (sweetened whole beans with bean paste); X.Protein.calculated.as.the.sum.of.amino.acid.residues.: NA; X.Fatty.acid.triacyl.glycerol.equivalents.: NA; X.Carbohydrate.available.expressed.in.mono.saccharide.equivalents.: NA; X.Dietary.fiber.soluble.: 4.3; X.Dietary.fiber.insoluble.: 0.5; Iodine: NA; Chromium: NA; Molybdenum: NA; alpha.Carotene: NA; X.beta.Cryptoxanthin.: NA; X.beta.Caroteneequivalents.: NA; X.Retinol.activityequivalents.: NA; beta.Tocopherol: NA; delta.Tocopherol: 0.1; Pantothenic.acid: 0.07; Biotin: NA; X.Ascorbic.acid.: NA; Salt.equivalents: 0.3; Nitrate.ion: NA; Theobromine: NA; Tannin: NA; Polyphenol: NA; Acetic.acid: NA; Cooking.oil: NA; X.Organic.acids.total.: NA	KIDNEY BEAN	芸豆
MEXT_4008	MEXT	4008	Kidney beans, mature seeds, whole, boiled	芸豆，成熟种子，整粒，煮熟	Kidney beans, mature seeds, whole, boiled		mature seeds, whole	boiled				完整			NA		100	143	598	64.3	8.5	1	1.4	13.3	24.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	0.08	0.6	NA	0.09	NA	NA	NA	0	1.3	0.003	0.033	NA	60	2	47	150	470	NA	1.1	0.32	0.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X.Item.No.: 4008; Food.and.Description: Kidney beans, mature seeds, whole, boiled; X.Protein.calculated.as.the.sum.of.amino.acid.residues.: NA; X.Fatty.acid.triacyl.glycerol.equivalents.: NA; X.Carbohydrate.available.expressed.in.mono.saccharide.equivalents.: 16.9; X.Dietary.fiber.soluble.: 1.5; X.Dietary.fiber.insoluble.: 11.8; Iodine: 0; Chromium: NA; Molybdenum: 0.027; alpha.Carotene: NA; X.beta.Cryptoxanthin.: NA; X.beta.Caroteneequivalents.: NA; X.Retinol.activityequivalents.: NA; beta.Tocopherol: 0; delta.Tocopherol: 0.1; Pantothenic.acid: 0.14; Biotin: 0.0038; X.Ascorbic.acid.: NA; Salt.equivalents: 0; Nitrate.ion: NA; Theobromine: NA; Tannin: NA; Polyphenol: NA; Acetic.acid: NA; Cooking.oil: NA; X.Organic.acids.total.: NA	KIDNEY BEAN	芸豆
USDASR_16069	USDASR	16069	Lentils, raw	扁豆、生	Lentils, raw		Lentils	Lentils	Legumes and Legume Products				生		NA		100	352	1473	8.26	24.63	1.06	2.71	10.7	63.35	2.03	0	0	0.154	0.193	0.526	0	0	NA	0.27	0.002	39	0	0.023	0.873	0.211	2.605	NA	0.54	0	4.5	0	0.49	4.23	0.005	0.479	96.4	35	6.51	47	281	677	6	3.27	0.754	1.393	1e-04	0.221	0.882	1.065	1.786	1.72	0.21	1.215	1.223	1.903	0.693	0.414	0.112	0	0	0	0	0	name: Lentils, raw; foodid: 16069; Starch: 49.9; Sucrose: 1.47; Glucose.dextrose.: 0; Lactose: 0; Maltose: 0.3; Theobromine: 0; Galactose: 0; Fluoride.F: NA; Carotene.alpha: 0; Vitamin.D2.ergocalciferol.: NA; Vitamin.D3.cholecalciferol.: NA; Vitamin.D.D2.D3.: 0; Cryptoxanthin.beta: 0; Lycopene: 0; Lutein.zeaxanthin: 0; Tocopherol.beta: 0; Tocopherol.delta: 0; Tocotrienol.alpha: 0; Tocotrienol.beta: 0; Tocotrienol.gamma: 0; Tocotrienol.delta: 0; Pantothenic.acid: 2.14; Menaquinone.4: NA; Dihydrophylloquinone: NA; Folic.acid: 0; Folate.food: 0.479; Folate.DFE: 0.479; Betaine: NA; Cystine: 0.322; Tyrosine: 0.658; Alanine: 1.029; Aspartic.acid: 2.725; Glutamic.acid: 3.819; Glycine: 1.002; Proline: 1.029; Serine: 1.136; Hydroxyproline: NA; Vitamin.E.added: 0; Vitamin.B.12.added: 0; X4.0: 0; X6.0: 0; X8.0: 0; X10.0: 0; X12.0: 0; X14.0: 0.003; X16.0: 0.136; X18.0: 0.015; X20.0: NA; X18.1.undifferentiated: 0.184; X22.0: NA; X14.1: NA; X16.1.undifferentiated: 0.003; X20.1: 0.006; X22.1.undifferentiated: 0; Stigmasterol: NA; Campesterol: NA; Beta.sitosterol: NA; X15.0: NA; X17.0: NA; X24.0: NA; X16.1.t: NA; X18.1.t: NA; X22.1.t: NA; X18.2.t.not.further.defined: NA; X18.2.i: NA; X18.2.t.t: NA; X18.2.CLAs: NA; X24.1.c: NA; X20.2.n.6.c.c: NA; X16.1.c: NA; X18.1.c: NA; X18.2.n.6.c.c: NA; X22.1.c: NA; X18.3.n.6.c.c.c: NA; X17.1: NA; X20.3.undifferentiated: NA; Fatty.acids.total.trans.monoenoic: NA; Fatty.acids.total.trans.polyenoic: NA; X13.0: NA; X15.1: NA; X18.3.n.3.c.c.c.ALA.: NA; X20.3.n.3: NA; X20.3.n.6: NA; X20.4.n.6: NA; X18.3i: NA; X21.5: NA; X22.4: NA; X18.1.11.t.18.1t.n.7.: NA	LENTILS	小扁豆
USDASR_16070	USDASR	16070	Lentils, mature seeds, cooked, boiled, without salt	小扁豆，成熟种子，煮熟，无盐煮沸	Lentils, mature seeds, cooked, boiled without salt		cooked, boiled, without salt	Lentils	Legumes and Legume Products				煮熟		NA	不加盐	100	116	487	69.64	9.02	0.38	0.83	7.9	20.13	1.8	0	0	0.053	0.064	0.175	0	0	NA	NA	0	8	0	0.005	0.169	0.073	1.06	NA	0.178	0	1.5	0	0.11	NA	0.0017	0.181	32.7	19	3.33	36	180	369	2	1.27	0.251	0.494	0.0028	0.081	0.323	0.39	0.654	0.63	0.077	0.445	0.448	0.697	0.254	0.137	0.037	0	0	0	0	0	name: Lentils, mature seeds, cooked, boiled, without salt; foodid: 16070; Starch: NA; Sucrose: NA; Glucose.dextrose.: NA; Lactose: NA; Maltose: NA; Theobromine: 0; Galactose: NA; Fluoride.F: NA; Carotene.alpha: 0; Vitamin.D2.ergocalciferol.: NA; Vitamin.D3.cholecalciferol.: NA; Vitamin.D.D2.D3.: 0; Cryptoxanthin.beta: 0; Lycopene: 0; Lutein.zeaxanthin: 0; Tocopherol.beta: NA; Tocopherol.delta: NA; Tocotrienol.alpha: NA; Tocotrienol.beta: NA; Tocotrienol.gamma: NA; Tocotrienol.delta: NA; Pantothenic.acid: 0.638; Menaquinone.4: NA; Dihydrophylloquinone: NA; Folic.acid: 0; Folate.food: 0.181; Folate.DFE: 0.181; Betaine: NA; Cystine: 0.118; Tyrosine: 0.241; Alanine: 0.377; Aspartic.acid: 0.998; Glutamic.acid: 1.399; Glycine: 0.367; Proline: 0.377; Serine: 0.416; Hydroxyproline: NA; Vitamin.E.added: 0; Vitamin.B.12.added: 0; X4.0: 0; X6.0: 0; X8.0: 0; X10.0: 0; X12.0: 0; X14.0: 0.001; X16.0: 0.045; X18.0: 0.005; X20.0: NA; X18.1.undifferentiated: 0.061; X22.0: NA; X14.1: NA; X16.1.undifferentiated: 0.001; X20.1: 0.002; X22.1.undifferentiated: 0; Stigmasterol: NA; Campesterol: NA; Beta.sitosterol: NA; X15.0: NA; X17.0: NA; X24.0: NA; X16.1.t: NA; X18.1.t: NA; X22.1.t: NA; X18.2.t.not.further.defined: NA; X18.2.i: NA; X18.2.t.t: NA; X18.2.CLAs: NA; X24.1.c: NA; X20.2.n.6.c.c: NA; X16.1.c: NA; X18.1.c: NA; X18.2.n.6.c.c: NA; X22.1.c: NA; X18.3.n.6.c.c.c: NA; X17.1: NA; X20.3.undifferentiated: NA; Fatty.acids.total.trans.monoenoic: NA; Fatty.acids.total.trans.polyenoic: NA; X13.0: NA; X15.1: NA; X18.3.n.3.c.c.c.ALA.: NA; X20.3.n.3: NA; X20.3.n.6: NA; X20.4.n.6: NA; X18.3i: NA; X21.5: NA; X22.4: NA; X18.1.11.t.18.1t.n.7.: NA	LENTILS	小扁豆
