index	source	source_id	English_name	Chinese_name	clean_name	name2	note1	note2	group1	group2	stat_standard	stat_shape	stat_cook	stat_storage	stat_meat	stat_seasoning	edible	Energy_kcal	Energy_kJ	Water	Protein	Fat	Ash	Fiber	Carbohydrate	Sugar	Alcohol	Caffeine	saturated_fat_acid	monounsat_fat_acid	polyunsat_fat_acid	trans_fat_acid	Cholesterol	Phytosterol	Fructose	VA_RAE	VA_IU	Retinol	Carotene	Thiamin	Riboflavin	Niacin	Nicotincin	VB6	VB12	VC	VD	VE	Tocopherol.gama	VK	Folate	Choline	Ca	Fe	Mg	p	K	Na	Zn	Cu	Mn	Se	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Arginine	Histidine	F18D2	F18D3	F18D4	F20D4	F20D5	F22D5	F22D6	others	total_name	key_name_cn
China_31307	China	31307		豆腐（南豆腐）	豆腐		（南豆腐）		干豆类及制品	大豆					NA		100	87	363	83.6	5.7	5.8	1	0.2	3.9	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.06	0.02	0	0	0	0	0	NA	5.72	NA	NA	0	NA	113	1.2	36	76	154	0	0.43	0.04	0.03	0.00123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31307; name: 豆腐（南豆腐）; pinyin: DF（N）[NDF]; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0	豆腐	豆腐
China_31301	China	31301		豆腐（代表值）	豆腐		（代表值）		干豆类及制品	大豆					NA		100	84	351	83.8	6.6	5.3	0.9	0	3.4	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.06	0.02	0.2	0.21	0	0	0	NA	5.79	NA	NA	0	NA	113	1.2	36	76	154	0	0.57	0.08	0.12	0.0015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31301; name: 豆腐（代表值）; pinyin: DF（JZ）; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0.0077	豆腐	豆腐
China_31306	China	31306		豆腐（北豆腐）	豆腐		（北豆腐）		干豆类及制品	大豆					NA		100	99116	482	78.6	9.2	8.1	1.1	0	3	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.05	0.02	0	0.11	0	0	0	NA	8.4	NA	NA	0	NA	105	1.5	63	112	106	0	0.74	0.06	0.07	0.00246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31306; name: 豆腐（北豆腐）; pinyin: DF（BDF）; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0.0077	豆腐	豆腐
China_43221	China	43221		冬瓜	冬瓜				蔬菜类及制品	茄果、瓜菜类					NA		80	12	43	96.9	0.3	0.2	0.2	0	2.4	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	0	0	0.22	0	0	16	NA	0.04	NA	NA	0	NA	12	0.1	10	11	57	0	0.1	0.01	0.02	2e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 43221; name: 冬瓜; pinyin: DG; cateno: 43; category_lvl1_id: 4; category_lvl2_id: 43; a_vit_e: 0; i: 0	冬瓜	冬瓜
China_51004	China	51004		冬菇（干）[毛柄金线菌]	冬菇		（干）	[毛柄金线菌]	菌藻类	菌类			干		NA		86	277	1159	13.4	17.8	1.3	2.9	32.3	64.6	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.005	0	0.03	0.17	1.4	24.4	0	0	0	5	NA	3.47	NA	NA	0	NA	55	10.5	104	469	1155	0	4.2	0.45	5.02	0.00745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 51004; name: 冬菇（干）[毛柄金线菌]; pinyin: DG（G）[MBJXJ]; cateno: 51; category_lvl1_id: 5; category_lvl2_id: 51; a_vit_e: 3.47; i: 0	冬菇	冬菇
China_12001	China	12001		稻米（代表值）	稻米		（代表值）		谷类及制品	稻米					NA		100	346	1453	13.3	7.9	0.9	0.7	0.6	77.2	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.15	0.04	1.9	2	0	0	0	NA	0.43	NA	NA	0	NA	8	1.1	31	112	112	0	1.54	0.25	1.13	0.00283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 12001; name: 稻米（代表值）; pinyin: DM（JZ）; cateno: 12; category_lvl1_id: 1; category_lvl2_id: 12; a_vit_e: 0; i: 0.0023	稻米	稻米
China_121203	China	121203		带鱼[白带鱼，刀鱼]	带鱼			[白带鱼，刀鱼]	鱼虾蟹贝类	鱼					NA		76	127	531	73.3	17.7	4.9	1	0	3.1	NA	0	NA	NA	NA	NA	NA	76	NA	NA	NA	0.029	0.029	0	0.02	0.06	2.8	0	0	0	0	NA	0.82	NA	NA	0	NA	28	1.2	43	191	280	150.1	0.7	0.08	0.17	0.03657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 121203; name: 带鱼[白带鱼，刀鱼]; pinyin: DY[BDYDY]; cateno: 121; category_lvl1_id: 12; category_lvl2_id: 121; a_vit_e: 0.82; i: 0.0055	带鱼	带鱼
China_45101	China	45101		大白菜（代表值）	大白菜		（代表值）		蔬菜类及制品	嫩茎、叶、花菜类					NA		89	20	82	94.4	1.6	0.2	0.7	0.9	3.4	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.007	0	0.12	0.05	0.04	0.6	0.65	0	0	37.5	NA	0.36	NA	NA	0	NA	57	0.8	12	33	134	0	0.46	0.06	0.19	0.00057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 45101; name: 大白菜（代表值）; pinyin: DBC（JZ）; cateno: 45; category_lvl1_id: 4; category_lvl2_id: 45; a_vit_e: 0.36; i: 0	大白菜	大白菜
China_63905	China	63905		醋栗[灯笼果]	醋栗			[灯笼果]	水果类及制品	浆果类					NA		100	46	192	87.9	0.9	0.6	0.5	1.9	10.2	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.04	0.03	0.3	0	0	0	28	NA	0	NA	NA	0	NA	25	0.3	10	27	198	0	0.12	0.07	0.14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 63905; name: 醋栗[灯笼果]; pinyin: CL[DLG]; cateno: 63; category_lvl1_id: 6; category_lvl2_id: 63; a_vit_e: 0; i: 0	醋栗	醋栗
China_45404	China	45404		春笋（鲜）	春笋		（鲜）		蔬菜类及制品	嫩茎、叶、花菜类				鲜	NA		66	25	105	91.4	2.4	0.1	1	2.8	5.1	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.005	0	0.03	0.05	0.04	0.4	0	0	0	5	NA	0	NA	NA	0	NA	8	2.4	8	36	300	0	0.43	0.15	0.78	0.00066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 45404; name: 春笋（鲜）; pinyin: CS; cateno: 45; category_lvl1_id: 4; category_lvl2_id: 45; a_vit_e: 0; i: 0	春笋	春笋
